name,ascents,grade,popularity,popularity_std,elo,elo_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
The Pillar of Autumn,10,7C+,2.9736,0.8618,3.2091,0.4363,26.956,25.502,28.409,8B+,-3.956
Kung Fu Panda,113,7C,2.9696,0.3478,0.1002,0.2736,21.670,20.759,22.582,7C,+0.330
Arkanum,12,8A,3.3459,1.1151,3.5349,0.4893,27.509,25.879,29.140,8C,-3.509
Fettes Schweinchen,218,6B,0.9004,0.1953,-4.3511,0.1946,14.103,13.455,14.752,6B,-0.103
No Exit,141,6B+,0.4815,0.2176,-5.9376,0.2625,11.406,10.532,12.281,5C,+3.594
Wilma,101,6A+,0.1349,0.1877,-6.9510,0.2667,9.683,8.795,10.572,5B,+3.317
Jack,183,6A,0.5131,0.1931,-6.1181,0.2055,11.099,10.414,11.784,5C,+0.901
Big Cheese,477,6C,2.8429,0.1998,-2.8269,0.1179,16.694,16.301,17.087,6C+,-0.694
La Verda,19,7A+,0.2099,0.4047,0.3930,0.5015,22.168,20.497,23.839,7C,-3.168
Muttertag,206,8A,9.1784,1.0640,1.8456,0.1638,24.638,24.092,25.183,8A+,-0.638
Mr. Kreatin,82,7A,1.2126,0.2846,-0.8572,0.2670,20.043,19.153,20.932,7B,-2.043
Blindfisch,868,7B,5.5586,0.2636,-1.0902,0.0786,19.647,19.385,19.909,7B,+0.353
