name,ascents,grade,popularity,elo,elo_std,pop_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
One way ticket,12,7A,2.6601,-3.9637,0.0000,0.0000,16.015,16.015,16.015,6C,+1.985
Gold Digger,4,8A,-0.9720,0.7195,0.0000,0.0000,18.054,18.054,18.054,7A,+5.946
Bachspieler,3,7B,2.4964,1.5892,0.0000,0.0000,19.671,19.671,19.671,7B,+0.329
Caffè corretto grappa,9,8A+,5.5169,3.0340,0.0000,0.0000,21.539,21.539,21.539,7C,+3.461
King of the Bongo,7,6A,-1.8964,-8.8747,0.0000,0.0000,11.375,11.375,11.375,5C,+0.625
up to the root,3,7A+,-1.8287,0.4161,0.0000,0.0000,17.595,17.595,17.595,7A,+1.405
N.N. blocco 18 - no. 3,5,6A+,-2.9028,-5.1181,0.0000,0.0000,13.581,13.581,13.581,6B,-0.581
"N. N. (Boulder 10, Line a in Swiss Bloc 1)",1,6B+,-10.8384,-3.3693,0.0000,0.0000,12.374,12.374,12.374,6A,+2.626
Fred boulder,2,7C,1.8030,3.9364,0.0000,0.0000,21.030,21.030,21.030,7B+,+0.970
Wenn das der Schoki wüsste,18,6C,2.1094,-3.4555,0.0000,0.0000,16.190,16.190,16.190,6C,-0.190
Gipsy,4,8A+,-0.4320,3.5366,0.0000,0.0000,20.095,20.095,20.095,7B,+4.905
Small step big change Stand,2,7C,1.3953,4.1665,0.0000,0.0000,21.062,21.062,21.062,7B+,+0.938
